"TAX","GEO","TIME","UNIT","Value"
"Transport taxes","Sweden","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,08"
"Transport taxes","Sweden","2010","Percentage of gross domestic product (GDP)","0,47"
"Transport taxes","Sweden","2011","Million euro","1.741,01"
"Transport taxes","Sweden","2011","Million units of national currency","15.721"
"Transport taxes","Sweden","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1"
"Transport taxes","Sweden","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,01"
"Transport taxes","Sweden","2011","Percentage of gross domestic product (GDP)","0,43"
"Transport taxes","Sweden","2012","Million euro","1.792,49"
"Transport taxes","Sweden","2012","Million units of national currency","15.602"
"Transport taxes","Sweden","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,98"
"Transport taxes","Sweden","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,99"
"Transport taxes","Sweden","2012","Percentage of gross domestic product (GDP)","0,42"
"Transport taxes","Sweden","2013","Million euro","1.907,41"
"Transport taxes","Sweden","2013","Million units of national currency","16.502"
"Transport taxes","Sweden","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,01"
"Transport taxes","Sweden","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,02"
"Transport taxes","Sweden","2013","Percentage of gross domestic product (GDP)","0,44"
"Transport taxes","Sweden","2014","Million euro","1.846,9"
"Transport taxes","Sweden","2014","Million units of national currency","16.804"
"Transport taxes","Sweden","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,99"
"Transport taxes","Sweden","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1"
"Transport taxes","Sweden","2014","Percentage of gross domestic product (GDP)","0,43"
"Transport taxes","Sweden","2015","Million euro","2.004,92"
"Transport taxes","Sweden","2015","Million units of national currency","18.753"
"Transport taxes","Sweden","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,02"
"Transport taxes","Sweden","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,04"
"Transport taxes","Sweden","2015","Percentage of gross domestic product (GDP)","0,45"
"Transport taxes","Sweden","2016","Million euro","2.080,28"
"Transport taxes","Sweden","2016","Million units of national currency","19.698"
"Transport taxes","Sweden","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1"
"Transport taxes","Sweden","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,02"
"Transport taxes","Sweden","2016","Percentage of gross domestic product (GDP)","0,45"
"Transport taxes","Sweden","2017","Million euro","2.067,86"
"Transport taxes","Sweden","2017","Million units of national currency","19.924"
"Transport taxes","Sweden","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,97"
"Transport taxes","Sweden","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,98"
"Transport taxes","Sweden","2017","Percentage of gross domestic product (GDP)","0,44"
"Transport taxes","United Kingdom","1995","Million euro","5.191,91"
"Transport taxes","United Kingdom","1995","Million units of national currency","4.303"
"Transport taxes","United Kingdom","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,63"
"Transport taxes","United Kingdom","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,69"
"Transport taxes","United Kingdom","1995","Percentage of gross domestic product (GDP)","0,51"
"Transport taxes","United Kingdom","1996","Million euro","5.549,28"
"Transport taxes","United Kingdom","1996","Million units of national currency","4.516"
"Transport taxes","United Kingdom","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,62"
"Transport taxes","United Kingdom","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,68"
"Transport taxes","United Kingdom","1996","Percentage of gross domestic product (GDP)","0,5"
"Transport taxes","United Kingdom","1997","Million euro","7.083,63"
"Transport taxes","United Kingdom","1997","Million units of national currency","4.904"
"Transport taxes","United Kingdom","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,63"
"Transport taxes","United Kingdom","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,69"
"Transport taxes","United Kingdom","1997","Percentage of gross domestic product (GDP)","0,52"
"Transport taxes","United Kingdom","1998","Million euro","8.269,89"
"Transport taxes","United Kingdom","1998","Million units of national currency","5.594"
"Transport taxes","United Kingdom","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,71"
"Transport taxes","United Kingdom","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,77"
"Transport taxes","United Kingdom","1998","Percentage of gross domestic product (GDP)","0,56"
"Transport taxes","United Kingdom","1999","Million euro","8.964,08"
"Transport taxes","United Kingdom","1999","Million units of national currency","5.905"
"Transport taxes","United Kingdom","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,69"
"Transport taxes","United Kingdom","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,75"
"Transport taxes","United Kingdom","1999","Percentage of gross domestic product (GDP)","0,57"
"Transport taxes","United Kingdom","2000","Million euro","9.367"
"Transport taxes","United Kingdom","2000","Million units of national currency","5.709"
"Transport taxes","United Kingdom","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,52"
"Transport taxes","United Kingdom","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,57"
"Transport taxes","United Kingdom","2000","Percentage of gross domestic product (GDP)","0,52"
"Transport taxes","United Kingdom","2001","Million euro","8.291,12"
"Transport taxes","United Kingdom","2001","Million units of national currency","5.156"
"Transport taxes","United Kingdom","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,33"
